transaction_date,posted_date,memo,type,amount,running_balance
2026-08-30,2026-08-30,Oak Street Cafe,CREDIT,1991.88,26791.88
2026-08-26,2026-08-26,Lumen Telecom,CREDIT,2991.67,29783.55
2026-08-23,2026-08-23,Pine & Co.,DEBIT,-1275.37,28508.18
2026-08-21,2026-08-21,Northstar Office,DEBIT,-261.77,28246.41
2026-08-17,2026-08-17,Oak Street Cafe,DEBIT,-1139.03,27107.38
2026-08-14,2026-08-14,Harbor Market,DEBIT,-147.58,26959.80
2026-08-13,2026-08-13,Northstar Office,CREDIT,8575.92,35535.72
2026-08-08,2026-08-08,Northstar Office,DEBIT,-1208.38,34327.34
2026-08-05,2026-08-05,Northstar Office,DEBIT,-650.17,33677.17
2026-08-02,2026-08-02,Metro Fuel,CREDIT,5387.55,39064.72
2026-07-30,2026-07-30,Pine & Co.,DEBIT,-921.59,38143.13
2026-07-27,2026-07-27,Lumen Telecom,CREDIT,7520.52,45663.65
2026-07-26,2026-07-26,Northstar Office,DEBIT,-380.94,45282.71
2026-07-23,2026-07-23,Metro Fuel,DEBIT,-826.17,44456.54
2026-07-20,2026-07-20,Harbor Market,DEBIT,-709.75,43746.79
2026-07-17,2026-07-17,Metro Fuel,DEBIT,-1180.63,42566.16
2026-07-14,2026-07-14,Cloudline Hosting,DEBIT,-800.58,41765.58
2026-07-09,2026-07-09,Pine & Co.,DEBIT,-707.87,41057.71
2026-07-08,2026-07-08,Northstar Office,DEBIT,-59.06,40998.65
2026-07-03,2026-07-03,Harbor Market,CREDIT,3875.59,44874.24
2026-07-01,2026-07-01,Oak Street Cafe,CREDIT,830.93,45705.17
2026-06-27,2026-06-27,Oak Street Cafe,CREDIT,8092.89,53798.06
2026-06-25,2026-06-25,Pine & Co.,DEBIT,-988.50,52809.56
2026-06-21,2026-06-21,Metro Fuel,CREDIT,4839.44,57649.00
